"구분","강간발생","강간검거","강도발생","강도검거","살인발생","살인검거","절도발생","절도검거","폭력발생","폭력검거"
"강남",161,123,45,26,10,3,854,446,2936,2796
"강동",111,100,52,54,8,8,885,949,3051,3005
"강북",122,119,43,46,7,8,650,576,2515,2483
"강서",129,119,36,32,18,17,1322,557,3487,3336
"관악",216,139,33,29,10,9,1556,651,3519,3267
"광진",146,133,48,32,3,5,2125,835,2986,2641
"구로",209,111,58,59,22,23,1194,701,3329,3187
"금천",104,92,31,18,3,3,1030,638,2530,2389
"남대문",57,56,10,12,1,1,596,477,1208,1150
"노원",108,99,25,22,3,4,922,684,3085,3015
"도봉",88,63,22,18,9,10,1148,383,1929,1816
"동대문",114,106,38,25,11,9,731,596,3221,3194
"동작",170,100,28,17,9,7,928,451,2211,2106
"마포",109,106,24,24,8,4,720,483,2642,2622
"방배",36,34,12,10,0,0,295,200,747,745
"서대문",124,107,35,22,8,9,1345,655,2610,2407
"서부",48,48,12,14,3,3,483,302,1366,1301
"서초",155,104,28,10,1,4,695,522,2098,1987
"성동",95,92,32,23,1,3,1179,697,2093,1982
"성북",85,60,21,20,5,4,622,421,1477,1424
"송파",174,163,54,44,10,10,1437,752,3862,3709
"수서",111,99,39,40,3,5,1365,539,2138,1853
"양천",94,85,38,40,11,12,1083,559,2406,2270
"영등포",144,130,43,32,19,18,1170,738,3914,3752
"용산",74,70,19,11,7,6,708,519,1781,1735
"은평",40,38,19,20,7,6,676,355,1700,1585
"종로",86,99,13,16,5,6,558,321,1330,1216
"종암",49,44,25,27,5,6,478,347,1139,1100
"중랑",114,112,30,26,7,7,1022,973,3401,3394
"중부",76,72,20,26,4,4,699,507,1898,1855
"혜화",69,52,15,18,3,3,416,412,1678,1691
